timestamp_utc,experiment,noise,p,shots,idle_steps,seed,state,method,n,basis,decode_mode,readout_error_p,readout_mitigated,stabilizer_rounds,readout_error_0to1,readout_error_1to0,single_qubit_gate_error_p,cx_gate_error_p,kept_fraction,success,success_ci_lower,success_ci_upper,success_theory,counts
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.049999999999999996,4000,4,12345,plus,phaseflip_rep_n5,5,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.95975,0.9532048497543252,0.9654129097494474,0.9613709124351068,"{'01000': 321, '00000': 1500, '10011': 19, '11100': 11, '00010': 309, '00001': 364, '10000': 349, '10010': 56, '00100': 328, '10100': 69, '00110': 62, '10001': 70, '00011': 70, '01001': 69, '11000': 57, '11010': 14, '10110': 12, '01010': 71, '00101': 70, '01110': 18, '11001': 13, '01100': 74, '01101': 10, '10101': 12, '01011': 20, '01111': 6, '00111': 12, '11011': 6, '11110': 2, '10111': 4, '11101': 2}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.06249999999999999,4000,4,12345,plus,baseline_n1,1,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.80225,0.7896189883112301,0.8143010069253447,0.7930908203125,"{'0': 3209, '1': 791}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.06249999999999999,4000,4,12345,plus,phaseflip_rep_n3,3,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.88125,0.8708571484960493,0.8909112491348657,0.8892819209686422,"{'000': 1960, '010': 522, '001': 531, '100': 512, '101': 142, '011': 167, '110': 134, '111': 32}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.06249999999999999,4000,4,12345,plus,phaseflip_rep_n5,5,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.9355,0.9274618259265247,0.9427024682853141,0.93663615660578,"{'10001': 102, '00000': 1228, '11100': 26, '00010': 367, '10000': 343, '01001': 98, '10101': 26, '10100': 67, '00011': 89, '01010': 81, '00110': 85, '00001': 299, '11000': 73, '01000': 325, '10010': 104, '00100': 315, '00101': 87, '01100': 79, '11001': 22, '10111': 5, '00111': 23, '11010': 18, '10011': 26, '11011': 5, '01111': 7, '01101': 18, '01011': 18, '10110': 30, '01110': 25, '11110': 5, '11111': 1, '11101': 3}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.075,4000,4,12345,plus,baseline_n1,1,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.76875,0.7554293576790175,0.7815549226181852,0.761003125,"{'1': 925, '0': 3075}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.075,4000,4,12345,plus,phaseflip_rep_n3,3,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.8575,0.8463237073179213,0.8679902655425435,0.8559442482159569,"{'000': 1730, '010': 566, '100': 578, '001': 556, '011': 167, '101': 176, '110': 176, '111': 51}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.075,4000,4,12345,plus,phaseflip_rep_n5,5,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.917,0.9080449602034004,0.9251548347135614,0.9077471732432388,"{'11000': 105, '00001': 305, '10101': 19, '00100': 331, '11101': 11, '00011': 112, '10010': 123, '01100': 110, '01000': 326, '00000': 1001, '01001': 98, '10100': 116, '00110': 110, '00010': 310, '00101': 93, '10000': 335, '11010': 32, '11100': 32, '10011': 33, '10110': 28, '01011': 32, '10001': 92, '01010': 101, '01101': 30, '01110': 25, '01111': 12, '10111': 11, '00111': 27, '11001': 25, '11110': 8, '11111': 1, '11011': 6}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.0875,4000,4,12345,plus,baseline_n1,1,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.74125,0.7274509150879812,0.7545861365276471,0.7316251953124999,"{'1': 1035, '0': 2965}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.0875,4000,4,12345,plus,phaseflip_rep_n3,3,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.82725,0.8152221212293319,0.8386499000814013,0.8225843024529071,"{'000': 1522, '001': 578, '011': 201, '010': 597, '100': 612, '101': 206, '110': 209, '111': 75}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.0875,4000,4,12345,plus,phaseflip_rep_n5,5,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.8795,0.8690453933631633,0.8892263624425606,0.8761637014510453,"{'10011': 39, '00010': 284, '10100': 141, '01110': 43, '00101': 111, '00100': 352, '11110': 12, '11000': 116, '00001': 288, '10000': 301, '01000': 317, '11001': 36, '00000': 834, '01111': 25, '01100': 117, '10110': 45, '11011': 11, '01010': 117, '11101': 19, '11010': 35, '01011': 39, '01001': 101, '10001': 122, '11100': 39, '00110': 102, '00011': 104, '10101': 47, '01101': 41, '00111': 39, '10010': 111, '10111': 8, '11111': 4}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.09999999999999999,4000,4,12345,plus,baseline_n1,1,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.7125,0.6982752425028294,0.7263169791275168,0.7048000000000001,"{'1': 1150, '0': 2850}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.09999999999999999,4000,4,12345,plus,phaseflip_rep_n3,3,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.7905,0.7776126757369788,0.8028298672447416,0.790020130816,"{'000': 1368, '001': 582, '100': 616, '010': 596, '101': 246, '110': 244, '011': 245, '111': 103}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.09999999999999999,4000,4,12345,plus,phaseflip_rep_n5,5,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.84025,0.8285702419151263,0.8512768329541692,0.8432120548611379,"{'00010': 273, '00110': 133, '10101': 58, '11110': 22, '10000': 284, '00101': 137, '10100': 128, '11001': 62, '11000': 113, '00111': 52, '01010': 128, '00011': 120, '11010': 44, '00000': 698, '01101': 48, '00001': 274, '01000': 283, '00100': 286, '01001': 118, '11100': 50, '01100': 124, '10001': 131, '10010': 131, '11101': 20, '10111': 26, '01011': 44, '10110': 58, '01110': 59, '01111': 21, '10011': 55, '11011': 14, '11111': 6}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.11249999999999999,4000,4,12345,plus,baseline_n1,1,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.68675,0.6722028188264401,0.7009388159475228,0.6803751953125,"{'1': 1253, '0': 2747}"
2026-03-15T02:32:26.621460+00:00,phaseflip,phaseflip,0.11249999999999999,4000,4,12345,plus,phaseflip_rep_n3,3,X,majority,0.0,False,1,0.0,0.0,0.0,0.0,1.0,0.751,0.7373621741456801,0.7641561676388701,0.758825702861122,"{'000': 1244, '001': 579, '100': 600, '010': 581, '011': 295, '110': 273, '101': 293, '111': 135}"
