timestamp_utc,experiment,noise,p,shots,idle_steps,seed,state,method,n,basis,decode_mode,kept_fraction,success,counts
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.03,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.98825,"{'00000': 2207, '00001': 285, '10000': 288, '01010': 37, '11000': 37, '00100': 271, '01100': 43, '00010': 275, '10100': 28, '10001': 29, '01000': 294, '01001': 31, '10011': 5, '00101': 34, '01110': 6, '00011': 33, '00111': 4, '01011': 7, '10010': 28, '00110': 33, '01101': 6, '10110': 3, '11010': 2, '11101': 1, '11001': 3, '01111': 1, '10101': 5, '10111': 1, '11100': 3}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.03,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.99625,"{'0001000': 215, '1000110': 3, '0000000': 1760, '0010000': 217, '0110110': 1, '0101010': 4, '0000001': 219, '1000100': 24, '0000010': 217, '0110001': 3, '0000110': 32, '1000000': 225, '0100111': 1, '1001010': 4, '0010010': 34, '0100000': 238, '1001100': 3, '0101001': 4, '0101101': 1, '1000010': 19, '0000100': 210, '0110010': 10, '1000011': 5, '0000101': 32, '0100011': 4, '1001110': 1, '1110000': 5, '0001100': 30, '0010001': 30, '1000001': 17, '0000111': 4, '0110000': 26, '0100010': 23, '0101000': 29, '0011010': 4, '1100100': 5, '0011000': 28, '1010100': 1, '0001101': 4, '0100100': 23, '1111000': 3, '1010000': 25, '1000101': 1, '0110100': 1, '0101100': 9, '0000011': 28, '1110010': 1, '0001010': 23, '0100001': 21, '1101000': 2, '0001001': 28, '1011000': 3, '0010100': 35, '0010011': 2, '1001001': 4, '0111000': 6, '0010111': 1, '1001000': 27, '1100000': 28, '0011001': 7, '1100101': 1, '0011100': 7, '0100110': 1, '0111010': 1, '1100001': 2, '1101010': 1, '0100101': 1, '0001011': 4, '1001011': 1, '1100011': 1, '1010010': 3, '0010101': 2, '1100010': 2, '1010001': 1, '0001110': 1, '1100110': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.03,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.9685,"{'00000': 2805, '00001': 347, '00011': 357, '11100': 2, '00010': 365, '11101': 48, '11110': 35, '11111': 41}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.04,4000,4,12345,0,baseline_n1,1,Z,majority,1.0,0.862,"{'0': 3448, '1': 552}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.04,4000,4,12345,0,bitflip_rep_n3,3,Z,majority,1.0,0.944,"{'000': 2504, '001': 424, '010': 429, '100': 419, '011': 72, '110': 73, '101': 71, '111': 8}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.04,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.977,"{'10001': 52, '11010': 8, '00000': 1850, '10000': 326, '00001': 288, '00110': 55, '00111': 10, '00010': 314, '10010': 58, '00100': 308, '01000': 298, '00101': 55, '10110': 5, '11001': 11, '10100': 40, '00011': 53, '01001': 62, '11000': 48, '10101': 10, '01010': 52, '01100': 49, '01101': 12, '10011': 6, '01011': 12, '11100': 8, '11110': 1, '01110': 6, '10111': 2, '01111': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.04,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.9885,"{'0000000': 1387, '0110011': 3, '0101101': 2, '1000010': 35, '0000100': 230, '0101110': 1, '0110010': 3, '1000011': 9, '0000101': 47, '0110101': 1, '0101011': 1, '1000100': 45, '1111010': 2, '0000010': 211, '0110001': 5, '1000000': 226, '0000110': 28, '0011000': 36, '1010100': 8, '0010000': 221, '0100000': 239, '0001000': 227, '1001011': 1, '0001101': 4, '0111100': 1, '0100100': 39, '1001110': 4, '1110000': 6, '0100011': 8, '0001100': 41, '0000001': 211, '0001001': 31, '0001110': 12, '0100101': 5, '0001011': 11, '0100010': 39, '0010010': 33, '0000111': 5, '1000001': 40, '0110000': 40, '1001000': 27, '1101100': 2, '0010110': 4, '0000011': 35, '0110100': 7, '0101100': 5, '1110010': 2, '0001010': 38, '0100001': 43, '0111000': 7, '0010011': 10, '1100000': 32, '1010110': 1, '1001010': 4, '1110100': 2, '0101000': 46, '0101001': 8, '0010100': 45, '0010001': 39, '0011001': 5, '0010101': 8, '1010000': 33, '1100010': 8, '1100110': 1, '1010001': 7, '1100101': 3, '1010010': 7, '1111000': 1, '1100001': 7, '0001111': 1, '1100100': 4, '0011111': 1, '0011010': 8, '0111010': 1, '0100110': 5, '0010111': 1, '1000101': 4, '1001001': 7, '1011000': 4, '0011011': 2, '0011100': 2, '1101011': 1, '1101110': 1, '1011100': 2, '1101000': 4, '0110110': 1, '0101010': 3, '1000110': 3, '1110011': 1, '0100111': 1, '1001101': 1, '1101001': 1, '0011110': 1, '1001100': 3, '1010011': 1, '1111001': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.04,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.945,"{'00000': 2559, '00001': 387, '00011': 412, '11100': 6, '00010': 422, '11101': 75, '11111': 76, '11110': 63}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.05,4000,4,12345,0,baseline_n1,1,Z,majority,1.0,0.83275,"{'0': 3331, '1': 669}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.05,4000,4,12345,0,bitflip_rep_n3,3,Z,majority,1.0,0.924,"{'000': 2246, '010': 490, '001': 471, '011': 91, '100': 489, '110': 104, '101': 92, '111': 17}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.05,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.95975,"{'01000': 321, '00000': 1500, '10011': 19, '11100': 11, '00010': 309, '00001': 364, '10000': 349, '10010': 56, '00100': 328, '10100': 69, '00110': 62, '10001': 70, '00011': 70, '01001': 69, '11000': 57, '11010': 14, '10110': 12, '01010': 71, '00101': 70, '01110': 18, '11001': 13, '01100': 74, '01101': 10, '10101': 12, '01011': 20, '01111': 6, '00111': 12, '11011': 6, '11110': 2, '10111': 4, '11101': 2}"
